constructor_id,constructor_ref,name,nationality,ingestion_date
1,mclaren,McLaren,British,2024-07-10T12:28:34.630-07:00
2,bmw_sauber,BMW Sauber,German,2024-07-10T12:28:34.630-07:00
3,williams,Williams,British,2024-07-10T12:28:34.630-07:00
4,renault,Renault,French,2024-07-10T12:28:34.630-07:00
5,toro_rosso,Toro Rosso,Italian,2024-07-10T12:28:34.630-07:00
6,ferrari,Ferrari,Italian,2024-07-10T12:28:34.630-07:00
7,toyota,Toyota,Japanese,2024-07-10T12:28:34.630-07:00
8,super_aguri,Super Aguri,Japanese,2024-07-10T12:28:34.630-07:00
9,red_bull,Red Bull,Austrian,2024-07-10T12:28:34.630-07:00
10,force_india,Force India,Indian,2024-07-10T12:28:34.630-07:00
11,honda,Honda,Japanese,2024-07-10T12:28:34.630-07:00
12,spyker,Spyker,Dutch,2024-07-10T12:28:34.630-07:00
13,mf1,MF1,Russian,2024-07-10T12:28:34.630-07:00
14,spyker_mf1,Spyker MF1,Dutch,2024-07-10T12:28:34.630-07:00
15,sauber,Sauber,Swiss,2024-07-10T12:28:34.630-07:00
16,bar,BAR,British,2024-07-10T12:28:34.630-07:00
17,jordan,Jordan,Irish,2024-07-10T12:28:34.630-07:00
18,minardi,Minardi,Italian,2024-07-10T12:28:34.630-07:00
19,jaguar,Jaguar,British,2024-07-10T12:28:34.630-07:00
20,prost,Prost,French,2024-07-10T12:28:34.630-07:00
21,arrows,Arrows,British,2024-07-10T12:28:34.630-07:00
22,benetton,Benetton,Italian,2024-07-10T12:28:34.630-07:00
23,brawn,Brawn,British,2024-07-10T12:28:34.630-07:00
24,stewart,Stewart,British,2024-07-10T12:28:34.630-07:00
25,tyrrell,Tyrrell,British,2024-07-10T12:28:34.630-07:00
26,lola,Lola,British,2024-07-10T12:28:34.630-07:00
27,ligier,Ligier,French,2024-07-10T12:28:34.630-07:00
28,forti,Forti,Italian,2024-07-10T12:28:34.630-07:00
29,footwork,Footwork,British,2024-07-10T12:28:34.630-07:00
30,pacific,Pacific,British,2024-07-10T12:28:34.630-07:00
31,simtek,Simtek,British,2024-07-10T12:28:34.630-07:00
32,team_lotus,Team Lotus,British,2024-07-10T12:28:34.630-07:00
33,larrousse,Larrousse,French,2024-07-10T12:28:34.630-07:00
34,brabham,Brabham,British,2024-07-10T12:28:34.630-07:00
35,dallara,Dallara,Italian,2024-07-10T12:28:34.630-07:00
36,fondmetal,Fondmetal,Italian,2024-07-10T12:28:34.630-07:00
37,march,March,British,2024-07-10T12:28:34.630-07:00
38,moda,Andrea Moda,Italian,2024-07-10T12:28:34.630-07:00
39,ags,AGS,French,2024-07-10T12:28:34.630-07:00
40,lambo,Lambo,Italian,2024-07-10T12:28:34.630-07:00
41,leyton,Leyton House,British,2024-07-10T12:28:34.630-07:00
42,coloni,Coloni,Italian,2024-07-10T12:28:34.630-07:00
44,eurobrun,Euro Brun,Italian,2024-07-10T12:28:34.630-07:00
45,osella,Osella,Italian,2024-07-10T12:28:34.630-07:00
46,onyx,Onyx,British,2024-07-10T12:28:34.630-07:00
47,life,Life,Italian,2024-07-10T12:28:34.630-07:00
48,rial,Rial,German,2024-07-10T12:28:34.630-07:00
49,zakspeed,Zakspeed,German,2024-07-10T12:28:34.630-07:00
50,ram,RAM,British,2024-07-10T12:28:34.630-07:00
51,alfa,Alfa Romeo,Italian,2024-07-10T12:28:34.630-07:00
52,spirit,Spirit,British,2024-07-10T12:28:34.630-07:00
53,toleman,Toleman,British,2024-07-10T12:28:34.630-07:00
54,ats,ATS,Italian,2024-07-10T12:28:34.630-07:00
55,theodore,Theodore,Hong Kong,2024-07-10T12:28:34.630-07:00
56,fittipaldi,Fittipaldi,Brazilian,2024-07-10T12:28:34.630-07:00
57,ensign,Ensign,British,2024-07-10T12:28:34.630-07:00
58,shadow,Shadow,British,2024-07-10T12:28:34.630-07:00
59,wolf,Wolf,Canadian,2024-07-10T12:28:34.630-07:00
60,merzario,Merzario,Italian,2024-07-10T12:28:34.630-07:00
61,kauhsen,Kauhsen,German,2024-07-10T12:28:34.630-07:00
62,rebaque,Rebaque,Mexican,2024-07-10T12:28:34.630-07:00
63,surtees,Surtees,British,2024-07-10T12:28:34.630-07:00
64,hesketh,Hesketh,British,2024-07-10T12:28:34.630-07:00
65,martini,Martini,French,2024-07-10T12:28:34.630-07:00
66,brm,BRM,British,2024-07-10T12:28:34.630-07:00
67,penske,Penske,American,2024-07-10T12:28:34.630-07:00
68,lec,LEC,British,2024-07-10T12:28:34.630-07:00
69,mcguire,McGuire,Australian,2024-07-10T12:28:34.630-07:00
70,boro,Boro,Dutch,2024-07-10T12:28:34.630-07:00
71,apollon,Apollon,Swiss,2024-07-10T12:28:34.630-07:00
72,kojima,Kojima,Japanese,2024-07-10T12:28:34.630-07:00
73,parnelli,Parnelli,American,2024-07-10T12:28:34.630-07:00
74,maki,Maki,Japanese,2024-07-10T12:28:34.630-07:00
75,hill,Embassy Hill,British,2024-07-10T12:28:34.630-07:00
76,lyncar,Lyncar,British,2024-07-10T12:28:34.630-07:00
77,trojan,Trojan,British,2024-07-10T12:28:34.630-07:00
78,amon,Amon,New Zealand,2024-07-10T12:28:34.630-07:00
79,token,Token,British,2024-07-10T12:28:34.630-07:00
80,iso_marlboro,Iso Marlboro,British,2024-07-10T12:28:34.630-07:00
81,tecno,Tecno,Italian,2024-07-10T12:28:34.630-07:00
82,matra,Matra,French,2024-07-10T12:28:34.630-07:00
83,politoys,Politoys,British,2024-07-10T12:28:34.630-07:00
84,connew,Connew,British,2024-07-10T12:28:34.630-07:00
85,bellasi,Bellasi,Swiss,2024-07-10T12:28:34.630-07:00
86,tomaso,De Tomaso,Italian,2024-07-10T12:28:34.630-07:00
87,cooper,Cooper,British,2024-07-10T12:28:34.630-07:00
88,eagle,Eagle,American,2024-07-10T12:28:34.630-07:00
89,lds,LDS,South African,2024-07-10T12:28:34.630-07:00
90,protos,Protos,British,2024-07-10T12:28:34.630-07:00
91,shannon,Shannon,British,2024-07-10T12:28:34.630-07:00
92,scirocco,Scirocco,British,2024-07-10T12:28:34.630-07:00
93,re,RE,Rhodesian,2024-07-10T12:28:34.630-07:00
94,brp,BRP,British,2024-07-10T12:28:34.630-07:00
95,porsche,Porsche,German,2024-07-10T12:28:34.630-07:00
96,derrington,Derrington,British,2024-07-10T12:28:34.630-07:00
97,gilby,Gilby,British,2024-07-10T12:28:34.630-07:00
98,stebro,Stebro,Canadian,2024-07-10T12:28:34.630-07:00
99,emeryson,Emeryson,British,2024-07-10T12:28:34.630-07:00
100,enb,ENB,Belgium,2024-07-10T12:28:34.630-07:00
101,jbw,JBW,British,2024-07-10T12:28:34.630-07:00
102,ferguson,Ferguson,British,2024-07-10T12:28:34.630-07:00
103,mbm,MBM,Swiss,2024-07-10T12:28:34.630-07:00
104,behra-porsche,Behra-Porsche,Italian,2024-07-10T12:28:34.630-07:00
105,maserati,Maserati,Italian,2024-07-10T12:28:34.630-07:00
106,scarab,Scarab,American,2024-07-10T12:28:34.630-07:00
107,watson,Watson,American,2024-07-10T12:28:34.630-07:00
108,epperly,Epperly,American,2024-07-10T12:28:34.630-07:00
109,phillips,Phillips,American,2024-07-10T12:28:34.630-07:00
110,lesovsky,Lesovsky,American,2024-07-10T12:28:34.630-07:00
111,trevis,Trevis,American,2024-07-10T12:28:34.630-07:00
112,meskowski,Meskowski,American,2024-07-10T12:28:34.630-07:00
113,kurtis_kraft,Kurtis Kraft,American,2024-07-10T12:28:34.630-07:00
114,kuzma,Kuzma,American,2024-07-10T12:28:34.630-07:00
115,vhristensen,Christensen,American,2024-07-10T12:28:34.630-07:00
116,ewing,Ewing,American,2024-07-10T12:28:34.630-07:00
117,aston_martin,Aston Martin,British,2024-07-10T12:28:34.630-07:00
118,vanwall,Vanwall,British,2024-07-10T12:28:34.630-07:00
119,moore,Moore,American,2024-07-10T12:28:34.630-07:00
120,dunn,Dunn,American,2024-07-10T12:28:34.630-07:00
121,elder,Elder,American,2024-07-10T12:28:34.630-07:00
122,sutton,Sutton,American,2024-07-10T12:28:34.630-07:00
123,fry,Fry,British,2024-07-10T12:28:34.630-07:00
124,tec-mec,Tec-Mec,Italian,2024-07-10T12:28:34.630-07:00
125,connaught,Connaught,British,2024-07-10T12:28:34.630-07:00
126,alta,Alta,British,2024-07-10T12:28:34.630-07:00
127,osca,OSCA,Italian,2024-07-10T12:28:34.630-07:00
128,gordini,Gordini,French,2024-07-10T12:28:34.630-07:00
129,stevens,Stevens,American,2024-07-10T12:28:34.630-07:00
130,bugatti,Bugatti,French,2024-07-10T12:28:34.630-07:00
131,mercedes,Mercedes,German,2024-07-10T12:28:34.630-07:00
132,lancia,Lancia,Italian,2024-07-10T12:28:34.630-07:00
133,hwm,HWM,British,2024-07-10T12:28:34.630-07:00
134,schroeder,Schroeder,American,2024-07-10T12:28:34.630-07:00
135,pawl,Pawl,American,2024-07-10T12:28:34.630-07:00
136,pankratz,Pankratz,American,2024-07-10T12:28:34.630-07:00
137,arzani-volpini,Arzani-Volpini,Italian,2024-07-10T12:28:34.630-07:00
138,nichels,Nichels,American,2024-07-10T12:28:34.630-07:00
139,bromme,Bromme,American,2024-07-10T12:28:34.630-07:00
140,klenk,Klenk,German,2024-07-10T12:28:34.630-07:00
141,simca,Simca,French,2024-07-10T12:28:34.630-07:00
142,turner,Turner,American,2024-07-10T12:28:34.630-07:00
143,del_roy,Del Roy,American,2024-07-10T12:28:34.630-07:00
144,veritas,Veritas,German,2024-07-10T12:28:34.630-07:00
145,bmw,BMW,German,2024-07-10T12:28:34.630-07:00
146,emw,EMW,East German,2024-07-10T12:28:34.630-07:00
147,afm,AFM,German,2024-07-10T12:28:34.630-07:00
148,frazer_nash,Frazer Nash,British,2024-07-10T12:28:34.630-07:00
149,sherman,Sherman,American,2024-07-10T12:28:34.630-07:00
150,deidt,Deidt,American,2024-07-10T12:28:34.630-07:00
151,era,ERA,British,2024-07-10T12:28:34.630-07:00
152,butterworth,Aston Butterworth,British,2024-07-10T12:28:34.630-07:00
153,cisitalia,Cisitalia,Italian,2024-07-10T12:28:34.630-07:00
154,lago,Talbot-Lago,French,2024-07-10T12:28:34.630-07:00
155,hall,Hall,American,2024-07-10T12:28:34.630-07:00
156,marchese,Marchese,American,2024-07-10T12:28:34.630-07:00
157,langley,Langley,American,2024-07-10T12:28:34.630-07:00
158,rae,Rae,American,2024-07-10T12:28:34.630-07:00
159,olson,Olson,American,2024-07-10T12:28:34.630-07:00
160,wetteroth,Wetteroth,American,2024-07-10T12:28:34.630-07:00
161,adams,Adams,American,2024-07-10T12:28:34.630-07:00
162,snowberger,Snowberger,American,2024-07-10T12:28:34.630-07:00
163,milano,Milano,Italian,2024-07-10T12:28:34.630-07:00
164,hrt,HRT,Spanish,2024-07-10T12:28:34.630-07:00
167,cooper-maserati,Cooper-Maserati,British,2024-07-10T12:28:34.630-07:00
166,virgin,Virgin,British,2024-07-10T12:28:34.630-07:00
168,cooper-osca,Cooper-OSCA,British,2024-07-10T12:28:34.630-07:00
169,cooper-borgward,Cooper-Borgward,British,2024-07-10T12:28:34.630-07:00
170,cooper-climax,Cooper-Climax,British,2024-07-10T12:28:34.630-07:00
171,cooper-castellotti,Cooper-Castellotti,British,2024-07-10T12:28:34.630-07:00
172,lotus-climax,Lotus-Climax,British,2024-07-10T12:28:34.630-07:00
173,lotus-maserati,Lotus-Maserati,British,2024-07-10T12:28:34.630-07:00
174,de_tomaso-osca,De Tomaso-Osca,Italian,2024-07-10T12:28:34.630-07:00
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,2024-07-10T12:28:34.630-07:00
176,lotus-brm,Lotus-BRM,British,2024-07-10T12:28:34.630-07:00
177,lotus-borgward,Lotus-Borgward,British,2024-07-10T12:28:34.630-07:00
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,2024-07-10T12:28:34.630-07:00
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,2024-07-10T12:28:34.630-07:00
180,lotus-ford,Lotus-Ford,British,2024-07-10T12:28:34.630-07:00
181,brabham-brm,Brabham-BRM,British,2024-07-10T12:28:34.630-07:00
182,brabham-ford,Brabham-Ford,British,2024-07-10T12:28:34.630-07:00
183,brabham-climax,Brabham-Climax,British,2024-07-10T12:28:34.630-07:00
184,lds-climax,LDS-Climax,South African,2024-07-10T12:28:34.630-07:00
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,2024-07-10T12:28:34.630-07:00
186,cooper-ford,Cooper-Ford,British,2024-07-10T12:28:34.630-07:00
187,mclaren-ford,McLaren-Ford,British,2024-07-10T12:28:34.630-07:00
188,mclaren-seren,McLaren-Serenissima,British,2024-07-10T12:28:34.630-07:00
189,eagle-climax,Eagle-Climax,American,2024-07-10T12:28:34.630-07:00
190,eagle-weslake,Eagle-Weslake,American,2024-07-10T12:28:34.630-07:00
191,brabham-repco,Brabham-Repco,British,2024-07-10T12:28:34.630-07:00
192,cooper-ferrari,Cooper-Ferrari,British,2024-07-10T12:28:34.630-07:00
193,cooper-ats,Cooper-ATS,British,2024-07-10T12:28:34.630-07:00
194,mclaren-brm,McLaren-BRM,British,2024-07-10T12:28:34.630-07:00
195,cooper-brm,Cooper-BRM,British,2024-07-10T12:28:34.630-07:00
196,matra-ford,Matra-Ford,French,2024-07-10T12:28:34.630-07:00
197,brm-ford,BRM-Ford,British,2024-07-10T12:28:34.630-07:00
198,mclaren-alfa_romeo,McLaren-Alfa Romeo,British,2024-07-10T12:28:34.630-07:00
199,march-alfa_romeo,March-Alfa Romeo,British,2024-07-10T12:28:34.630-07:00
200,march-ford,March-Ford,British,2024-07-10T12:28:34.630-07:00
201,lotus-pw,Lotus-Pratt &amp; Whitney,British,2024-07-10T12:28:34.630-07:00
202,shadow-ford,Shadow-Ford,British,2024-07-10T12:28:34.630-07:00
203,shadow-matra,Shadow-Matra,British,2024-07-10T12:28:34.630-07:00
204,brabham-alfa_romeo,Brabham-Alfa Romeo,British,2024-07-10T12:28:34.630-07:00
205,lotus_racing,Lotus,Malaysian,2024-07-10T12:28:34.630-07:00
206,marussia,Marussia,Russian,2024-07-10T12:28:34.630-07:00
207,caterham,Caterham,Malaysian,2024-07-10T12:28:34.630-07:00
208,lotus_f1,Lotus F1,British,2024-07-10T12:28:34.630-07:00
209,manor,Manor Marussia,British,2024-07-10T12:28:34.630-07:00
210,haas,Haas F1 Team,American,2024-07-10T12:28:34.630-07:00
211,racing_point,Racing Point,British,2024-07-10T12:28:34.630-07:00
213,alphatauri,AlphaTauri,Italian,2024-07-10T12:28:34.630-07:00
214,alpine,Alpine F1 Team,French,2024-07-10T12:28:34.630-07:00
