server_id,status_time,session_status
3,2023-11-04 16:29:47,start
3,2023-11-05 01:49:47,stop
3,2023-11-25 01:37:08,start
3,2023-11-25 03:50:08,stop
1,2023-11-13 03:05:31,start
1,2023-11-13 11:10:31,stop
4,2023-11-29 15:11:17,start
4,2023-11-29 15:42:17,stop
4,2023-11-20 00:31:44,start
4,2023-11-20 07:03:44,stop
1,2023-11-20 00:27:11,start
1,2023-11-20 01:41:11,stop
3,2023-11-04 23:16:48,start
3,2023-11-05 01:15:48,stop
4,2023-11-30 15:09:18,start
4,2023-11-30 20:48:18,stop
4,2023-11-25 21:09:06,start
4,2023-11-26 04:58:06,stop
5,2023-11-16 19:42:22,start
5,2023-11-16 21:08:22,stop